epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1247.99,1.10454,0.7533,1.37503,0.94421,0.98214,0.96732,0.63401,0.58064,0.31762,0.74333,0.00536081,0.00536081,0.00536081
74,1265.18,1.03154,0.72806,1.31488,0.94647,0.9835,0.99281,0.68844,0.51799,0.29982,0.71652,0.00525728,0.00525728,0.00525728
75,1282.34,1.00945,0.70899,1.31971,0.91074,0.97427,0.95649,0.71796,0.46719,0.38571,0.68359,0.00515366,0.00515366,0.00515366
76,1299.7,1.0081,0.69624,1.31024,0.93222,0.97465,0.9775,0.6877,0.5031,0.30242,0.71052,0.00505,0.00505,0.00505
77,1316.94,1.02004,0.70259,1.33225,0.94331,0.97281,0.96223,0.69233,0.47894,0.28247,0.68705,0.00494634,0.00494634,0.00494634
78,1334.13,0.9576,0.63416,1.24549,0.9469,0.95977,0.95937,0.69184,0.47877,0.3068,0.69446,0.00484272,0.00484272,0.00484272
79,1351.28,0.98912,0.66886,1.27614,0.9303,0.98214,0.96982,0.71397,0.49634,0.27907,0.70428,0.00473919,0.00473919,0.00473919
80,1368.55,0.98417,0.6453,1.28329,0.95968,1,0.995,0.69049,0.49572,0.28457,0.69888,0.00463579,0.00463579,0.00463579
81,1385.72,0.95433,0.63519,1.25217,0.92866,0.94687,0.975,0.72032,0.47504,0.60361,0.68505,0.00453258,0.00453258,0.00453258
82,1403.1,0.96172,0.62044,1.25783,0.94202,0.97721,0.96732,0.73195,0.46152,0.27168,0.68771,0.0044296,0.0044296,0.0044296
83,1420.44,0.98067,0.64987,1.26577,0.94476,0.98127,0.96732,0.67465,0.48893,0.2991,0.68722,0.00432689,0.00432689,0.00432689
84,1443.3,0.9686,0.64434,1.27415,0.90146,0.96258,0.95732,0.68042,0.48678,0.36164,0.68085,0.00422449,0.00422449,0.00422449
85,1467.1,0.94706,0.62482,1.26683,0.95389,0.97843,0.97596,0.68305,0.49815,0.28972,0.68737,0.00412246,0.00412246,0.00412246
86,1492.72,0.94024,0.60111,1.25197,0.899,0.98214,0.96125,0.69415,0.48512,0.27536,0.67821,0.00402084,0.00402084,0.00402084
87,1519.09,0.93631,0.62085,1.2488,0.93402,0.98214,0.96315,0.71327,0.46831,0.32989,0.67345,0.00391966,0.00391966,0.00391966
88,1537.35,0.95191,0.62529,1.25386,0.93958,0.98214,0.9775,0.70886,0.47795,0.25887,0.6747,0.00381899,0.00381899,0.00381899
89,1554.28,0.94912,0.64305,1.27437,0.8977,0.94064,0.9775,0.70039,0.4667,0.25877,0.66319,0.00371885,0.00371885,0.00371885
90,1571.29,0.94038,0.60199,1.2536,0.95436,0.98214,0.9775,0.71861,0.4683,0.24261,0.66692,0.00361929,0.00361929,0.00361929
91,1588.36,0.91634,0.60915,1.2452,0.95725,0.97314,0.98861,0.71754,0.46968,0.26999,0.67542,0.00352037,0.00352037,0.00352037
